provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
leaf-miner parasitoid,,visits,http://purl.obolibrary.org/obo/RO_0002618
aphid,,visits,http://purl.obolibrary.org/obo/RO_0002618
rodent ectoparasite,,visits,http://purl.obolibrary.org/obo/RO_0002618
seed-feeder parasitoid,,visits,http://purl.obolibrary.org/obo/RO_0002618
seed-feeding bird,,eats,http://purl.obolibrary.org/obo/RO_0002470
seed-feeding insect,,eats,http://purl.obolibrary.org/obo/RO_0002470
seed-feeding rodent,,eats,http://purl.obolibrary.org/obo/RO_0002470
flower visitor,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
butterfly,,visits,http://purl.obolibrary.org/obo/RO_0002618
